CHAIN_ID, CLIENT, CONNECTION, CHANNEL, PORT, COUNTERPARTY_CHAIN, COUNTERPARTY_CLIENT, COUNTERPARTY_CONNECTION, COUNTERPARTY_CHANNEL, COUNTERPARTY_PORT
agoric-3, 07-tendermint-1, connection-1, channel-1, transfer, osmosis-1, 07-tendermint-2109, connection-1649, channel-320, transfer
agoric-3, 07-tendermint-2, connection-2, channel-2, transfer, crescent-1, 07-tendermint-19, connection-14, channel-11, transfer
agoric-3, 07-tendermint-6, connection-8, channel-5, transfer, cosmoshub-4, 07-tendermint-927, connection-649, channel-405, transfer
agoric-3, 07-tendermint-11, connection-14, channel-9, transfer, axelar-dojo-1, 07-tendermint-69, connection-51, channel-41, transfer
agoric-3, 07-tendermint-17, connection-17, channel-10, transfer, secret-4, 07-tendermint-111, connection-80, channel-51, transfer
agoric-3, 07-tendermint-18, connection-18, channel-11, transfer, umee-1, 07-tendermint-152, connection-101, channel-42, transfer
agoric-3, 07-tendermint-70, connection-64, channel-55, transfer, centauri-1, 07-tendermint-51, connection-20, channel-13, transfer
agoric-3, 07-tendermint-72, connection-66, channel-57, transfer, evmos_9001-2, 07-tendermint-116, connection-70, channel-85, transfer
agoric-3, 07-tendermint-73, connection-67, channel-58, transfer, omniflixhub-1, 07-tendermint-47, connection-40, channel-30, transfer
agoric-3, 07-tendermint-74, connection-68, channel-59, transfer, stride-1, 07-tendermint-129, connection-118, channel-148, transfer
agoric-3, 07-tendermint-75, connection-69, channel-60, transfer, archway-1, 07-tendermint-23, connection-21, channel-20, transfer
agoric-3, 07-tendermint-77, connection-72, channel-62, transfer, noble-1, 07-tendermint-32, connection-38, channel-21, transfer
agoric-3, 07-tendermint-78, connection-73, channel-63, transfer, kava_2222-10, 07-tendermint-147, connection-182, channel-133, transfer
agoric-3, 07-tendermint-82, connection-82, channel-65, transfer, stargaze-1, 07-tendermint-315, connection-247, channel-231, transfer
agoric-3, 07-tendermint-85, connection-85, channel-68, transfer, quicksilver-2, 07-tendermint-84, connection-60, channel-125, transfer
agoric-3, 07-tendermint-86, connection-86, channel-69, transfer, cronosmainnet_25-1, 07-tendermint-34, connection-18, channel-12, transfer
agoric-3, 07-tendermint-93, connection-91, channel-72, transfer, core-1, 07-tendermint-167, connection-210, channel-202, transfer
agoric-3, 07-tendermint-93, connection-91, channel-73, icahost, core-1, 07-tendermint-167, connection-210, channel-209, icacontroller-agoric-3.rewards
agoric-3, 07-tendermint-85, connection-85, channel-91, icahost, quicksilver-2, 07-tendermint-84, connection-60, channel-177, icacontroller-agoric-3.deposit
agoric-3, 07-tendermint-85, connection-85, channel-92, icahost, quicksilver-2, 07-tendermint-84, connection-60, channel-178, icacontroller-agoric-3.withdrawal
agoric-3, 07-tendermint-85, connection-85, channel-93, icahost, quicksilver-2, 07-tendermint-84, connection-60, channel-179, icacontroller-agoric-3.performance
agoric-3, 07-tendermint-85, connection-85, channel-129, icahost, quicksilver-2, 07-tendermint-84, connection-60, channel-184, icacontroller-agoric-3.delegate
agoric-3, 07-tendermint-93, connection-91, channel-145, icahost, core-1, 07-tendermint-167, connection-210, channel-584, icacontroller-agoric-3.delegate
agoric-3, 07-tendermint-101, connection-99, channel-146, transfer, neutron-1, 07-tendermint-148, connection-108, channel-5789, transfer
