CHAIN_ID, CLIENT, CONNECTION, CHANNEL, PORT, COUNTERPARTY_CHAIN, COUNTERPARTY_CLIENT, COUNTERPARTY_CONNECTION, COUNTERPARTY_CHANNEL, COUNTERPARTY_PORT
kava_2222-10, 07-tendermint-1, connection-0, channel-0, transfer, cosmoshub-4, 07-tendermint-557, connection-460, channel-277, transfer
kava_2222-10, 07-tendermint-2, connection-1, channel-1, transfer, osmosis-1, 07-tendermint-1735, connection-1328, channel-143, transfer
kava_2222-10, 07-tendermint-6, connection-5, channel-5, transfer, akashnet-2, 07-tendermint-91, connection-60, channel-37, transfer
kava_2222-10, 07-tendermint-52, connection-106, channel-82, transfer, exchain-66, 07-tendermint-115, connection-74, channel-45, transfer
kava_2222-10, 07-tendermint-59, connection-114, channel-87, transfer, canto_7700-1, 07-tendermint-27, connection-19, channel-13, transfer
kava_2222-10, 07-tendermint-119, connection-156, channel-116, transfer, kaiyo-1, 07-tendermint-140, connection-106, channel-95, transfer
kava_2222-10, 07-tendermint-120, connection-157, channel-117, transfer, evmos_9001-2, 07-tendermint-113, connection-67, channel-83, transfer
kava_2222-10, 07-tendermint-124, connection-160, channel-119, transfer, umee-1, 07-tendermint-229, connection-191, channel-98, transfer
kava_2222-10, 07-tendermint-125, connection-162, channel-120, transfer, migaloo-1, 07-tendermint-90, connection-73, channel-48, transfer
kava_2222-10, 07-tendermint-130, connection-166, channel-122, transfer, injective-1, 07-tendermint-205, connection-189, channel-143, transfer
kava_2222-10, 07-tendermint-133, connection-168, channel-124, transfer, xstaxy-1, 07-tendermint-26, connection-15, channel-7, transfer
kava_2222-10, 07-tendermint-138, connection-172, channel-128, transfer, ixo-5, 07-tendermint-56, connection-42, channel-25, transfer
kava_2222-10, 07-tendermint-139, connection-173, channel-129, transfer, phoenix-1, 07-tendermint-330, connection-245, channel-216, transfer
kava_2222-10, 07-tendermint-146, connection-181, channel-132, transfer, pacific-1, 07-tendermint-38, connection-33, channel-18, transfer
kava_2222-10, 07-tendermint-147, connection-182, channel-133, transfer, agoric-3, 07-tendermint-78, connection-73, channel-63, transfer
kava_2222-10, 07-tendermint-148, connection-189, channel-134, transfer, core-1, 07-tendermint-156, connection-195, channel-129, transfer
kava_2222-10, 07-tendermint-149, connection-193, channel-135, transfer, haqq_11235-1, 07-tendermint-5, connection-7, channel-6, transfer
kava_2222-10, 07-tendermint-151, connection-194, channel-136, transfer, neutron-1, 07-tendermint-54, connection-37, channel-36, transfer
kava_2222-10, 07-tendermint-154, connection-195, channel-137, transfer, dydx-mainnet-1, 07-tendermint-7, connection-12, channel-7, transfer
kava_2222-10, 07-tendermint-156, connection-196, channel-138, transfer, phoenix-1, 07-tendermint-386, connection-362, channel-272, transfer
kava_2222-10, 07-tendermint-157, connection-197, channel-139, transfer, noble-1, 07-tendermint-62, connection-60, channel-37, transfer
kava_2222-10, 07-tendermint-158, connection-198, channel-140, transfer, celestia, 07-tendermint-49, connection-12, channel-13, transfer
kava_2222-10, 07-tendermint-160, connection-200, channel-142, transfer, coreum-mainnet-1, 07-tendermint-29, connection-20, channel-18, transfer
kava_2222-10, 07-tendermint-162, connection-203, channel-144, transfer, dymension_1100-1, 07-tendermint-3, connection-3, channel-3, transfer
