CHAIN_ID, CLIENT, CONNECTION, CHANNEL, PORT, COUNTERPARTY_CHAIN, COUNTERPARTY_CLIENT, COUNTERPARTY_CONNECTION, COUNTERPARTY_CHANNEL, COUNTERPARTY_PORT
neutron-1, 07-tendermint-0, connection-0, channel-0, consumer, cosmoshub-4, 07-tendermint-1119, connection-809, channel-568, provider
neutron-1, 07-tendermint-0, connection-0, channel-1, transfer, cosmoshub-4, 07-tendermint-1119, connection-809, channel-569, transfer
neutron-1, 07-tendermint-0, connection-0, channel-21, icacontroller-neutron1grlmxrpzmspjj63n52eee8d3qjujgdy5ctauplvs77y7f37hrahqpwmppa.gaia-ica, cosmoshub-4, 07-tendermint-1119, connection-809, channel-662, icahost
neutron-1, 07-tendermint-0, connection-0, channel-32, icacontroller-neutron1ddk7khc3jmds0m8p7xnwd2ujnffmwg8yxdnhlh7c7csccjk9a5esyaq8jm.funder, cosmoshub-4, 07-tendermint-1119, connection-809, channel-697, icahost
neutron-1, 07-tendermint-0, connection-0, channel-43, icacontroller-neutron16ftk7uurxdqw7599jgwwhy7d74kajqr8ajupkxhz0hayp7xd9gtq248vdx.funder, cosmoshub-4, 07-tendermint-1119, connection-809, channel-736, icahost
neutron-1, 07-tendermint-0, connection-0, channel-50, icacontroller-neutron1qszjppgdwtr44f653aylc8nngalc52rx25uafcxeghqt2u3tkx7ssap83r.funder, cosmoshub-4, 07-tendermint-1119, connection-809, channel-751, icahost
neutron-1, 07-tendermint-0, connection-0, channel-62, icacontroller-neutron10xwzc88kefwtlup9c2tmw4mj4ng7u79g8lsapp0c9jc02xt247zqwzzghf, cosmoshub-4, 07-tendermint-1119, connection-809, channel-770, icahost
neutron-1, 07-tendermint-0, connection-0, channel-63, icacontroller-neutron1rxul9vzdct7ksvf0cvccf02ukg0phun6s2hfneg35hxm7ldmtu6s7pdav7, cosmoshub-4, 07-tendermint-1119, connection-809, channel-777, icahost
neutron-1, 07-tendermint-0, connection-0, channel-64, icacontroller-neutron1t8esqdrptfxj9th28ysa9cnxlnnhmrsukl4vlsjp7207vs8adpfqhfu4s3, cosmoshub-4, 07-tendermint-1119, connection-809, channel-772, icahost
neutron-1, 07-tendermint-0, connection-19, channel-13, transfer, cosmoshub-4, 07-tendermint-1119, connection-832, channel-608, transfer
neutron-1, 07-tendermint-1, connection-1, channel-2, transfer, axelar-dojo-1, 07-tendermint-123, connection-110, channel-78, transfer
neutron-1, 07-tendermint-2, connection-2, channel-3, transfer, kaiyo-1, 07-tendermint-112, connection-82, channel-75, transfer
neutron-1, 07-tendermint-2, connection-2, channel-68, wasm.neutron1gkrrj668pf84sefae7yqgseeugnfeygrat8tnu06q8vtqfvc6mhqk7sysy, kaiyo-1, 07-tendermint-112, connection-82, channel-138, wasm.kujira1uexv52ffftauns6v2vlgvahc42k92nn0j0qa94u8re6dgp8zgfgqpw8uef
neutron-1, 07-tendermint-2, connection-2, channel-69, wasm.neutron162fvv88dxpsapf3rnux63anruqach36r8qg73ehm2dv3fkat2rusw70nlx, kaiyo-1, 07-tendermint-112, connection-82, channel-140, wasm.kujira14dckdzh7t30lkpdr0hgdqsqh52erux4tst5rl7jhvc693plnm39qp2r95q
neutron-1, 07-tendermint-12, connection-9, channel-25, transfer, phoenix-1, 07-tendermint-274, connection-192, channel-229, transfer
neutron-1, 07-tendermint-12, connection-9, channel-402, wasm.neutron16y5ahht24m80xnas4dv5z5qn9tytxl5ys7nea29cs8j4d90ske7qq4jxnr, phoenix-1, 07-tendermint-274, connection-192, channel-373, wasm.terra1vsk76g5xwv25ys6f8adwy85tszpv49daju5ugkgw6car9954feesc8qg97
neutron-1, 07-tendermint-12, connection-9, channel-5, transfer, phoenix-1, 07-tendermint-274, connection-192, channel-167, wasm.terra1jhfjnm39y3nn9l4520mdn4k5mw23nz0674c4gsvyrcr90z9tqcvst22fce
neutron-1, 07-tendermint-12, connection-9, channel-53, wasm.neutron143aydj5zcgh7fudhsjq7878z7v8dmj0ckn9un2hsrxgnslvgymfsln0tkw, phoenix-1, 07-tendermint-274, connection-192, channel-323, wasm.terra1669p39l9gg4ajjwyta5psf5g4aen05d392mzp9efpa06vnaa7j6s3czzd3
neutron-1, 07-tendermint-12, connection-9, channel-6, wasm.neutron1ffus553eet978k024lmssw0czsxwr97mggyv85lpcsdkft8v9ufsz3sa07, phoenix-1, 07-tendermint-274, connection-192, channel-168, wasm.terra1fkuhmq52pj08qqffp0elrvmzel8zz857x0pjjuuaar54mgcpe35s9km660
neutron-1, 07-tendermint-18, connection-15, channel-20, icacontroller-neutron19d9064hn3eddx43eljlz0c3ewqa957vx4sqzwa84ecqmgfnu4x6sedukqn.stride-ica, stride-1, 07-tendermint-125, connection-113, channel-155, icahost
neutron-1, 07-tendermint-18, connection-15, channel-8, transfer, stride-1, 07-tendermint-125, connection-113, channel-123, transfer
neutron-1, 07-tendermint-19, connection-18, channel-10, transfer, osmosis-1, 07-tendermint-2823, connection-2338, channel-874, transfer
neutron-1, 07-tendermint-19, connection-18, channel-27, transfer, osmosis-1, 07-tendermint-2823, connection-2338, channel-872, transfer
neutron-1, 07-tendermint-19, connection-18, channel-279, icacontroller-neutron16hmuumcgh7tr5q2fj8u407pw5z0jd5r3yswxj2d8s6e5ez6k054qcnut8m.rick-osmo-1, osmosis-1, 07-tendermint-2823, connection-2338, channel-18639, icahost
neutron-1, 07-tendermint-19, connection-18, channel-28, transfer, osmosis-1, 07-tendermint-2823, connection-2338, channel-873, transfer
neutron-1, 07-tendermint-19, connection-18, channel-289, icacontroller-neutron1fkxxgp6787c3uvdj4mt3m9y3l68d298g3p90609ddh9q4z5rkwmquqylxx.rick-osmo-1, osmosis-1, 07-tendermint-2823, connection-2338, channel-18649, icahost
neutron-1, 07-tendermint-19, connection-18, channel-29, transfer, osmosis-1, 07-tendermint-2823, connection-2338, channel-871, transfer
neutron-1, 07-tendermint-19, connection-18, channel-357, icacontroller-neutron1x5jj2yj07snvuyq8ha7hymzzcf9gpwxewj7qxlvxdfgyy5pvm9sqhkkcct.rick-osmo-1, osmosis-1, 07-tendermint-2823, connection-2338, channel-18793, icahost
neutron-1, 07-tendermint-19, connection-18, channel-397, icacontroller-neutron1fteql4math22n7d9y8cplxyflfd0y3xrk3hzysjlmuggndnjdfkszcqyna.rick-osmo-1, osmosis-1, 07-tendermint-2823, connection-2338, channel-18865, icahost
neutron-1, 07-tendermint-19, connection-18, channel-538, icacontroller-neutron1xqq9mgw8n80uxc43efh4sj2f2zt73vptplzejh88xpu8mj2lwyys6pt972.rick-osmo-1, osmosis-1, 07-tendermint-2823, connection-2338, channel-19245, icahost
neutron-1, 07-tendermint-19, connection-18, channel-54, wasm.neutron1767kfqeglqyctuqsmvyzgjecs60lpqju2f590smxevk9duq5fhaqgk5eca, osmosis-1, 07-tendermint-2823, connection-2338, channel-12058, wasm.osmo1vw02frqejfw2v2w7dy6ws35jp9743dwkxy0laalwsuvzzvkszz7s8d93yw
neutron-1, 07-tendermint-19, connection-18, channel-542, icacontroller-neutron15e4zku32uwjrnk34herrvgh20wvr98z8e3z69x2avwth2k0em7fsxvg3sn.OOOO1, osmosis-1, 07-tendermint-2823, connection-2338, channel-19251, icahost
